source,link,Status,Category,SourceID,Severity,Description,,,,,,
abuse.ch,https://spyeyetracker.abuse.ch/blocklist.php?download=ipblocklist,301 – Moved Permanently,https://spyeyetracker.abuse.ch/blocklist.php?download=ipblocklist,,1,,,,,,,
abuse.ch,https://palevotracker.abuse.ch/blocklists.php?download=ipblocklist,301 – Moved Permanently,C&C,https://palevotracker.abuse.ch/blocklists.php?download=ipblocklist,,2,,,,,,
openbl.org,http://www.openbl.org/lists/base_30days.txt,403 – Forbidden,,3,,,,,,,,
Spamhaus,DROP,200 – OK,http://www.spamhaus.org/drop/drop.txt,,4,,,,,,,
abuse.ch,ZeuS,301 – Moved Permanently,https://zeustracker.abuse.ch/blocklist.php?download=ipblocklist,,,,,,,,,
,,,,,,,,,,,,
joewein,https://www.joewein.net/dl/bl/dom-bl-base.txt,200 – OK,,,,,,,,,,
joewein,https://www.joewein.net/dl/bl/dom-bl.txt,200 – OK,,,,,,,,,,
ETI,,,,,,,,,,,,
,,,,,,,,,,,,
From,Sources,,https://github.com/notracking/hosts-blocklists,,,,,,,,,
,http://winhelp2002.mvps.org/hosts.txt,301 – Moved Permanently,,,,,,,,,,
,https://www.dshield.org/feeds/suspiciousdomains_Medium.txt,200 – OK,,,,,,,,,,
,https://ssl.bblck.me/blacklists/hosts-file.txt,Connection Error,,,,,,,,,,
,https://v.firebog.net/hosts/static/w3kbl.txt,200 – OK,,,,,,,,,,
,https://raw.githubusercontent.com/tyzbit/hosts/master/data/tyzbit/hosts,200 – OK,,,,,,,,,,
,http://www.urlvir.com/export-hosts/,301 – Moved Permanently,,,1,Active,Malicious,Hosts,,,,
,em_th,,,,,,,,,,,
,mal_doms,,,,,,,,,,,
