suffix,reputation,popularity,level,branches,leaves,cnt,cntPos,cntNeg,isPSL,features
museum.casadelamoneda,0,0,2,0,0,1,0,0,1,"museum.casadelamoneda: museum.casade,lamo,neda|mus,eum.casade,lamo,neda"
museum.americana,0,0,2,0,0,1,0,0,1,"museum.americana: museum.americana|mus,eum.americana"
museum.museumvereniging,0,0,2,0,0,1,0,0,1,"museum.museumvereniging: museum.museum,ver,enig,ing|mus,eum.museum,ver,enig,ing"
museum.michigan,0,0.0131,2,0,0,2,0,0,1,"museum.michigan: museum.michigan|mus,eum.michigan"
museum.localhistory,0,0,2,0,0,1,0,0,1,"museum.localhistory: museum.local,history|mus,eum.local,history"
museum.grandrapids,0,0,2,0,0,1,0,0,1,"museum.grandrapids: museum.grand,rapids|mus,eum.grand,rapids"
museum.britishcolumbia,0,0,2,0,0,1,0,0,1,"museum.britishcolumbia: museum.british,columbia|mus,eum.british,columbia"
museum.embroidery,0,0.0135,2,0,0,2,0,0,1,"museum.embroidery: museum.embroidery|mus,eum.embroidery"
museum.lucerne,0,0,2,0,0,1,0,0,1,"museum.lucerne: museum.lucerne|mus,eum.lucerne"
museum.nativeamerican,0,0,2,0,0,1,0,0,1,"museum.nativeamerican: museum.native,american|mus,eum.native,american"
museum.farmstead,0,0,2,0,0,1,0,0,1,"museum.farmstead: museum.farmstead|mus,eum.farmstead"
museum.halloffame,0,0,2,0,0,1,0,0,1,"museum.halloffame: museum.hallof,fame|mus,eum.hallof,fame"
museum.illustration,0,0,2,0,0,1,0,0,1,"museum.illustration: museum.illustration|mus,eum.illustration"
museum.suisse,0,0,2,0,0,1,0,0,1,"museum.suisse: museum.suisse|mus,eum.suisse"
museum.london,-1,0.0182,2,0,0,3,0,1,1,"museum.london: museum.london|mus,eum.london"
museum.losangeles,0,0,2,0,0,1,0,0,1,"museum.losangeles: museum.losan,gele,s|mus,eum.losan,gele,s"
museum.moscow,0,0,2,0,0,1,0,0,1,"museum.moscow: museum.moscow|mus,eum.moscow"
museum.historical,0,0.0146,2,0,0,2,0,0,1,"museum.historical: museum.historical|mus,eum.historical"
museum.brasil,0,0,2,0,0,1,0,0,1,"museum.brasil: museum.brasil|mus,eum.brasil"
museum.museet,0,0,2,0,0,1,0,0,1,"museum.museet: museum.muse,et|mus,eum.muse,et"
museum.scotland,0,0,2,0,0,1,0,0,1,"museum.scotland: museum.scotland|mus,eum.scotland"
museum.cartoonart,0,0,2,0,0,1,0,0,1,"museum.cartoonart: museum.cartoon,art|mus,eum.cartoon,art"
museum.decorativearts,0,0,2,0,0,1,0,0,1,"museum.decorativearts: museum.decorative,arts|mus,eum.decorative,arts"
museum.jamison,0,0.0133,2,0,0,2,0,0,1,"museum.jamison: museum.jami,son|mus,eum.jami,son"
